id,hashtags,retweet_id,user_id,user_loc,user_time_zone,user_created_at,user_desc,created_at,retweet_count,text
970086417216000001,['GunControl'],969925967597768707,708382640,arkansas,,Sat Jul 21 04:53:41 +0000 2012,Conservative husband/dad 2nd amendment all the way,Sat Mar 03 23:59:59 +0000 2018,904,"b'RT @GeorgiaDirtRoad: ""Gun laws are the only laws that affect the law abiding &amp; DO NOT affect criminals one bit."" ~@dbongino on #GunControl\xe2\x80\xa6'"
970086322290462721,"['2A', 'GunControl']",969985410578382850,20702013,"Southeast, USA",Atlantic Time (Canada),Thu Feb 12 18:43:11 +0000 2009,Professional Pilot Constitution History Nature Firearms Science Documentaries Engineering Building an experimental aircraft Drink my whiskey neat & Coffee black,Sat Mar 03 23:59:37 +0000 2018,111,b'RT @wsredneck: The right to bare arms and two desert eagles 50 cal. #2A #GunControl https://t.co/AIyOfkH2XZ'
970086319513915392,"['GunControlNow', 'GunReformNow', 'GunControl', 'Trump']",,3335875966,Yr UE / The EU,Pacific Time (US & Canada),Sat Jun 20 00:17:32 +0000 2015,"Cyfryngau Cymdeithasol/Social Media; Marchnata/Marketing; Cyfathrebu/Communications; Dylunio/Design.
Barn personol/Personal opinion",Sat Mar 03 23:59:36 +0000 2018,0,b'@StephenKing I think \xe2\x80\x9cvacant boob\xe2\x80\x9d is the best analogy of @realDonaldTrump\xe2\x80\x99s presidency I have ever read #GunControlNow #GunReformNow #GunControl #Trump'
970086285267255296,['GunControl'],969196962544173056,413053967,Australia,,Tue Nov 15 12:40:21 +0000 2011,"Christian Socialist perspective on politics, religion, human rights & social justice.  
Our FACEBOOK page is: http://www.facebook.com/RantingPanda",Sat Mar 03 23:59:28 +0000 2018,665,"b""RT @wesley_jordan: One good thing that's come out of this #GunControl debate is that Republicans are now boycotting Dicks. With them no lon\xe2\x80\xa6"""
970086229390667776,"['2A', 'GunControl']",969985410578382850,746511344,nowhere near Pelosi,Pacific Time (US & Canada),Thu Aug 09 04:07:59 +0000 2012,"Im 'non vitulisque marinis
BAN THE SCROOCH GUN
peace, love & BBQ",Sat Mar 03 23:59:15 +0000 2018,111,b'RT @wsredneck: The right to bare arms and two desert eagles 50 cal. #2A #GunControl https://t.co/AIyOfkH2XZ'
970086211443417089,['GunControl'],969967312999731200,46806111,"Texas, USA",,Sat Jun 13 02:29:22 +0000 2009,"#CHRISTIAN,Husband Air Force #Vet,1 SUPER SON, #PATRIOT, 70's girl🌺SUBSTITUTE📝#DEPLORABLES💯#MAGA 🇺🇸#CCOT #CONSERVATIVE, #TrumpSupporter #NRA",Sat Mar 03 23:59:10 +0000 2018,1049,"b'RT @CB618444: \xf0\x9f\x91\x89\xf0\x9f\x91\x89\xf0\x9f\x91\x89For the fools that believe #GunControl makes citizens safer, put down the crack pipe &amp; take a good look at what #GunContro\xe2\x80\xa6'"
970086204237590528,"['CrisisActors', 'ParklandShooting', 'ParklandStudents', 'StudentsStandUp', 'LiberalismIsAMentalDisorder', 'Liberals', 'Liberal', 'LiberalLogic', 'LiberalHypocrisy', 'GunControl', 'GunControlNow', '2A', '2ADefenders', '2AShallNotBeInfringed', '2ndAmendment', 'NRA']",,2752332754,"Grayson, KY",,Wed Aug 27 05:54:33 +0000 2014,Ukrainian Born - American Raised - Constitutional Conservative - Follower of Jesus Christ - NOT POLITICALLY CORRECT #CruzCrew,Sat Mar 03 23:59:09 +0000 2018,5,"b'Care to explain this, @davidhogg111??? \xf0\x9f\xa4\x94\n#CrisisActors #ParklandShooting #ParklandStudents #StudentsStandUp #LiberalismIsAMentalDisorder #Liberals #Liberal #LiberalLogic #LiberalHypocrisy #GunControl #GunControlNow #2A #2ADefenders #2AShallNotBeInfringed #2ndAmendment #NRA https://t.co/keLn83Se2W'"
970086198940073985,['GunControl'],969776819544248320,50231692,,,Wed Jun 24 06:11:14 +0000 2009,#TheResistance #Resist #BLM #MeToo #LGBTQ #StandWithPP #ClimateChange #NeverAgainMSD #GunControl #TakeAKnee #StrongWomen #Unhackthevote #Indivisible,Sat Mar 03 23:59:07 +0000 2018,61,b'RT @mersmom8: It Is Time To Vote Out Politicians Who Ignore Proven Track Records From Other Countries On #GunControl.\n\nI Will Be Voting For\xe2\x80\xa6'
970086142220689409,"['guncontrol', 'KidsDeserveIt']",,1460513977,"Montpelier, VT",,Sun May 26 19:47:45 +0000 2013,"NBCT, Vermont Council of Teachers of Math, PAEMST 2015, co-owner of North Branch Vineyards my tweets are my own",Sat Mar 03 23:58:54 +0000 2018,0,"b""@2017GATOTY ?  Love you man but what's up with your Governor? @funder #guncontrol #KidsDeserveIt https://t.co/L1k695mZCU"""
970086117348462593,"['gunsense', 'guncontrol']",,896474038821937152,,,Sat Aug 12 20:50:41 +0000 2017,"Hunter, Fisherman, Trapper. I also enjoy camping and hiking when I have time. Just getting into wildlife photography.",Sat Mar 03 23:58:48 +0000 2018,0,"b""@KamanHung @StephenAtHome Can't buy back something they never owned.  \n\n#gunsense \n#guncontrol"""
970086056329560065,['GunControl'],969925967597768707,1013208133,,Pacific Time (US & Canada),Sat Dec 15 13:20:46 +0000 2012,"Wife, Mom, Canine Groomer/Stylist, Planner Enthusiast, Music Lover, Healthy Food Student, Lover of Jesus",Sat Mar 03 23:58:33 +0000 2018,904,"b'RT @GeorgiaDirtRoad: ""Gun laws are the only laws that affect the law abiding &amp; DO NOT affect criminals one bit."" ~@dbongino on #GunControl\xe2\x80\xa6'"
