"Category","pred2.Gun Control","pred2.Gun Rights","pred2.Neither","pred1"
"Gun Rights",0.967592593,0.032407407,0.000000000,"Gun Control"
"Gun Rights",0.023809524,0.976190476,0.000000000,"Gun Rights"
"Gun Rights",0.047619048,0.952380952,0.000000000,"Gun Rights"
"Gun Rights",0.902777778,0.097222222,0.000000000,"Gun Control"
"Gun Rights",0.860262009,0.135371179,0.004366812,"Gun Control"
"Gun Rights",0.061855670,0.938144330,0.000000000,"Gun Rights"
"Gun Control",0.150259067,0.839378238,0.010362694,"Gun Rights"
"Gun Rights",0.119469027,0.862831858,0.017699115,"Gun Rights"
"Gun Rights",0.870689655,0.129310345,0.000000000,"Gun Control"
"Gun Rights",0.677725118,0.312796209,0.009478673,"Gun Control"
"Neither",0.947598253,0.052401747,0.000000000,"Gun Control"
"Gun Rights",0.805309735,0.190265487,0.004424779,"Gun Control"
"Neither",0.762331839,0.161434978,0.076233184,"Gun Control"
"Neither",0.307017544,0.140350877,0.552631579,"Neither"
"Gun Rights",0.934782609,0.060869565,0.004347826,"Gun Control"
"Gun Rights",0.085858586,0.914141414,0.000000000,"Gun Rights"
"Gun Rights",0.066666667,0.920000000,0.013333333,"Gun Rights"
"Gun Control",0.270742358,0.720524017,0.008733624,"Gun Rights"
"Gun Rights",0.048458150,0.938325991,0.013215859,"Gun Rights"
"Gun Rights",0.066964286,0.933035714,0.000000000,"Gun Rights"
"Neither",0.813852814,0.147186147,0.038961039,"Gun Control"
"Gun Control",0.669811321,0.320754717,0.009433962,"Gun Control"
"Gun Rights",0.793427230,0.150234742,0.056338028,"Gun Control"
"Gun Rights",0.651452282,0.340248963,0.008298755,"Gun Control"
"Neither",0.543689320,0.427184466,0.029126214,"Gun Control"
"Gun Rights",0.808888889,0.186666667,0.004444444,"Gun Control"
"Gun Control",0.787878788,0.212121212,0.000000000,"Gun Control"
"Gun Rights",0.873831776,0.107476636,0.018691589,"Gun Control"
"Gun Rights",0.777310924,0.193277311,0.029411765,"Gun Control"
"Neither",0.715447154,0.227642276,0.056910569,"Gun Control"
"Gun Control",0.824786325,0.175213675,0.000000000,"Gun Control"
"Neither",0.743362832,0.238938053,0.017699115,"Gun Control"
"Gun Rights",0.817258883,0.182741117,0.000000000,"Gun Control"
"Gun Rights",0.282407407,0.699074074,0.018518519,"Gun Rights"
"Gun Control",0.236051502,0.759656652,0.004291845,"Gun Rights"
