"","Gun Control","Gun Rights","Neither","MeanDecreaseAccuracy","MeanDecreaseGini"
"X._guncontrol",10.8814051460049,15.4186907861275,7.97094905400614,16.6364963126698,12.4735985222175
"X._nra",9.42587676134871,13.6758266425112,7.45211339208007,15.9284078994103,12.9272695386745
"X._2a",20.3135888231933,12.4051117237008,6.59395660878799,19.8000311142473,25.2116614510043
"X._parkland",3.50390864192459,11.5438893243024,3.75177542008478,11.0731034208434,2.50706702599535
"X._gunsense",-1.04064973363348,3.37634848578249,0,1.92108843479364,0.547034237302072
"X._florida",-1.09823200491823,3.91002935152254,0,2.17614955702453,0.52610982889671
"X._usa",2.3979789563484,3.65855089167119,3.7963926928889,5.14082292277748,0.773136668415315
"X._america",-0.957477131025609,0.205307301178497,0,-0.600799553719305,0.280839103017341
"X._daca",-2.22035226439669,1.66083893463411,3.46761235884951,1.31474138359366,0.593481181424231
"X._spreaker",1.00083437644887,-0.0842214465408016,2.81890676066506,2.32456488245599,0.172461538603826
"X._demoniacresistance",1.00083437644887,0,2.62125021124934,2.54119861543547,0.0685109468178183
"X._jeffsessions",0,1.00083437644887,3.61293829512132,3.5293889515996,0.182913697809739
"X._marijuanalaws",1.41597788062386,0,3.00624205951283,2.86068605433962,0.185724026033496
"X._sheriffscottisrael",0,0,2.83794491411564,2.84692598214633,0.0640149473717626
"X._conservative",0,0,0,0,0.032707359646098
"X._usn",0,0,0,0,0.0027586396695467
"X._prolife",1.32606215185244,-1.41657512688535,0,0.41861145537214,0.0816716462687047
"X._1a",1.00083437644887,1.00083437644887,0,1.33654243073548,0.0270952438811706
"X._buildthewall",0,1.41652337869904,0,1.41641593591693,0.0434541292826387
"X._deplorable",0,0,0,0,0.025037516140828
"X._trump",-1.95318419913056,10.4048519137884,8.75282114733532,9.66358791852644,2.29872363990043
"X._maga",16.2982607907059,3.2731141445862,4.56451596566088,15.1716019654094,8.82184807184649
"X._protectourkids",1.00083437644887,0,0,1.00083437644887,0.0727125374376625
"X._nypd",0,1.00083437644887,2.2074046132895,2.11679362836672,0.474216156083947
"X._tcot",5.12466762483976,0.621156204070558,1.00083437644887,4.67409598457716,0.506621696414444
"X._parklandshooting",0.818191611657809,4.18766954237498,3.30261324000273,4.3323253409901,0.635561643055193
"X._merica",1.00083437644887,-0.551581041068343,0,0.000534118360922052,0.0867942176049283
"X._browardcountysheriff",0,1.00083437644887,0,1.00083437644887,0.0903728429182613
"X._neveragain",9.56872087018779,15.3397028116882,4.07641093706186,14.7056252474156,6.87935568193156
"X._marchforourlives",4.99917438089633,11.4717677041597,2.21879455535187,10.9529044379198,2.5342788229386
"X._gop",8.72263007400288,10.8804535357148,4.15682023500811,11.4355948565934,2.6626244470448
"X._gun",5.93721190241259,7.89824208919057,-1.99645589409252,8.34555682999928,1.02711717263045
"X._security",-1.00083437644887,1.00083437644887,0,-0.0215025801597694,0.0533699505566019
"X._protection",-1.00083437644887,0,0,-1.00083437644887,0.0537087524262663
"X._rifle",2.20505090757504,2.66015656376628,0,2.96381568964711,0.156455734528725
"X._justice",-2.00564054473892,2.24496236584747,1.99738390173979,1.28622739975408,0.144898967977018
"X._12gauge",0,0,0,0,0.0599155620836418
"X._msnbc",-0.393470331516299,0.570869303459967,0,0.007288729897112,0.104741572207437
"X._foxnews",0.578723018028832,0.223146694760729,0,0.523788104808214,0.175342765811867
"X._dems",3.34439576183457,1.73588336638256,0,3.54109352346893,0.154967911427109
"X._resistance",2.00605583708801,-1.73615839179219,0,0.437062830828959,0.0902014357565119
"X._obamagate",1.00083437644887,0.586468514322161,0,1.00715661593145,0.0912185979205073
