Month,Examinations
1,362
2,436
3,
4,490
5,508
6,
7,393
8,596
9,634
10,613
11,545
12,411
13,398
14,311
15,664
16,680
17,114
18,467
19,566
20,806
21,732
22,886
23,776
24,698
25,875
26,840
27,724
28,1115
29,997
30,775
31,886
32,1041
33,1011
34,
35,939
36,
37,1004
38,1065
39,1263
40,962
41,
42,1429
43,1205
44,890
45,1320
46,1276
47,1757
48,
49,
50,
51,1578
52,1604
53,1758
54,
55,1457
56,1607
57,1808
58,1866
59,1934
60,2294
61,
62,2334
63,1973
64,2262
65,2259
66,2217
67,2739
68,2772
69,3383
70,2869
71,2239
72,
73,2789
74,3455
75,2940
76,2968
77,3466
78,3037
79,3946
80,3459
81,3446
82,3258
83,4729
84,3694
85,4610
86,4841
87,5172
88,4351
89,5329
90,4736
91,5015
92,4978
93,5008
94,6094
95,4874
96,5933
