"","x"
"1",510
"2",684.755726975807
"3",720.001148994838
"4",745.018402004475
"5",797.074063757803
"6",763.724843181145
"7",779.458621103957
"8",795.973220413739
"9",798.484388222739
"10",777.3555381347
"11",719.55299721058
"12",662.465782770528
"13",588.119352030636
"14",613.759057881867
"15",639.157579709006
"16",513.732945347238
"17",496.341917933475
"18",507.635047984512
"19",580.078913363111
"20",623.533275801699
"21",700.050050774602
"22",736.160489362246
"23",745.041991388124
"24",796.225440669791
"25",828.995714653023
"26",824.629026053125
"27",919.292309185193
"28",967.621480696457
"29",948.415017704392
"30",957.137550152288
"31",1001.80050276789
"32",1029.66023687951
"33",1064.28759558593
"34",1058.69342404711
"35",1153.13660068662
"36",1145.85751236883
"37",1151.79756128747
"38",1204.95918137033
"39",1169.92005400017
"40",1162.30799925711
"41",1248.50602251015
"42",1262.47014749447
"43",1190.15745984173
"44",1236.57569215899
"45",1263.48327871827
"46",1408.87333514619
"47",1494.64530724149
"48",1615.2627197452
"49",1685.70744431272
"50",1708.48878124785
"51",1728.90904511337
"52",1780.74216669033
"53",1885.40865159358
"54",1826.73513913956
"55",1809.27334759591
"56",1841.73745166752
"57",1880.76095992711
"58",1927.9896652875
"59",2057.60029872818
"60",2180.85129586816
"61",2275.19328869694
"62",2256.43813480426
"63",2308.23345792837
"64",2346.03737986207
"65",2361.76476407813
"66",2504.46181589485
"67",2630.0006633349
"68",2888.88766561992
"69",2970.42085924341
"70",2867.54136274735
"71",2932.06108512802
"72",2959.51636639196
"73",3147.69786746602
"74",3168.90069082558
"75",3185.70307865738
"76",3320.86692155496
"77",3318.58857007937
"78",3543.32293815006
"79",3602.7795476956
"80",3641.01767891261
"81",3616.16045918806
"82",3966.4017755117
"83",3991.75495690115
"84",4239.13058613752
"85",4500.60130345501
"86",4797.87507465219
"87",4826.14628611403
"88",5086.53200805677
"89",5141.3525496487
"90",5243.69912169634
"91",5306.3005062057
"92",5352.60367186222
"93",5658.66838473154
"94",5592.4533899228
