"","fit","upr","lwr"
"1",5545.62745877365,6263.70343066498,4827.55148688232
"2",5700.95910365194,6474.35059418756,4927.56761311632
"3",5856.29074853023,6741.59426379473,4970.98723326574
"4",6011.62239340853,7066.97423002065,4956.2705567964
"5",6166.95403828682,7443.43380720142,4890.47426937222
"6",6322.28568316511,7862.38706504726,4782.18430128295
"7",6477.6173280434,8316.78919201761,4638.44546406918
"8",6632.94897292169,8801.49085281196,4464.40709303141
"9",6788.28061779998,9312.80535196262,4263.75588363734
"10",6943.61226267827,9848.04982252177,4039.17470283477
"11",7098.94390755656,10405.2139736345,3792.67384147865
"12",7254.27555243485,10982.7428533443,3525.80825152539
